cust_id,scorecard_name,final_score,score_breakdown,is_eligible_for_st2,is_eligible_for_st3,max_mob_all_36,nbr_tot_accts_36,nbr_live_accts_36,nbr_al_tot_accts_36,nbr_hl_tot_accts_36,nbr_cc_tot_accts_36,nbr_cc_live_accts_36,nbr_agri_tot_accts_36,nbr_comsec_tot_accts_36,nbr_comuns_tot_accts_36,nbr_pl_tot_accts_36,nbr_tw_tot_accts_36,nbr_cl_tot_accts_36,nbr_pl_le50_tot_accts_36,min_mob_all_36,avg_mob_reg_36,max_mob_cc_36,min_mob_uns_wo_cc_36,min_mob_agri_live_36,max_mob_comuns_live_36,mon_since_last_acct_open,max_simul_unsec_wo_cc,max_simul_unsec_wo_cc_inc_gl,max_simul_unsec,max_simul_pl_cd,nbr_accts_open_l6m,nbr_accts_open_7to12m,nbr_accts_open_l12m_wo_cc,open_cnt_0_6_by_7_12,max_dpd__UNS_L36M,max_dpd_L30M,max_dpd__UNS__L6M,max_dpd__UNS_L_6_12_M,max_dpd__SEC__0_live,mon_sin_recent_1,mon_sin_recent_2,mon_sin_recent_3,mon_sin_recent_4,mon_sin_recent_5,mon_sin_recent_6,mon_sin_recent_7,mon_sin_first_1,mon_sin_first_2,mon_sin_first_3,mon_sin_first_4,mon_sin_first_5,mon_sin_first_6,mon_sin_first_7,util_l3m_cc_live,avg_util_l6m_all_tot,util_l12m_all_tot,util_l3m_exc_cc_live,util_l6m_uns_tot,util_l12m_uns_tot,nbr_cc40l6m_tot_accts_36,max_sanc_amt,max_sanc_amt_secmov,max_sanc_amt_pl,max_sanc_amt_al,max_sanc_amt_tw,max_sanc_amt_cl,sum_sanc_amt_uns,total_monthly_outflow_wo_cc,HL_LAP_outflow,AL_TW_outflow,PL_outflow,CD_outflow,totconsinc_bal10_exc_cc_25m,totconsdec_bal_tot_36m,totconsinc_bal10_exc_cc_7m,totconsinc_bal5_exc_cc_7m,consinc_bal10_exc_cc_25m,consinc_bal10_tot_7m,totconsinc_util1_tot_7m,consinc_bal5_cc_13m,balance_amt_0_12_by_13_24,balance_amt_0_6_by_7_12,avg_b_1to6_by_7_12_agri,delinq_bal_0_12_by_13_24,delinq_bal_13_24_by_25_36,live_cnt_0_6_by_7_12,freq_between_accts_all,freq_between_accts_unsec_wo_cc,freq_between_installment_trades,nbr_0_0m_all,nbr_0_24m_live,max_nbr_0_24m_uns,mon_since_max_bal_l24m_uns,latest_account_type
627084,ST_1_SE,900,intercept=520.00|max_dpd_uns_l36m=-0.00|util_l6m_cc_live=-15.33|Outflow_uns_secmov=22.39|max_mob_all_36=376.20|final_consec_marker=-0.00,False,False,209,15,14,1,0,6,5,0,0,0,2,1,1,,15,30.0,209,19.0,,,15,1,1,1.0,1,0,0,0,99.0,0,0,0,0,,,,,,,,,,,,,,,,0.47230089608535775,0.4547041292004019,0.4074540798014487,0.0,0.0,0.0,1.0,716136.0,,,,,,0.0,27988.979999999996,55977.95999999999,55977.95999999999,55977.95999999999,139944.89999999997,0,3,0,0,0,1,0,0,0.9530461969931764,0.9249892524986214,,,,0.875,17.636363636363637,6.8,5.428571428571429,,,0,2,173
10004499,ST_1_EV,900,intercept=550.00|max_dpd_hl_l36m=-120.00|max_dpd_cc_l36m=-0.00|util_l3m_cc_live=-1.19|max_mob_all_36=496.00|final_consec_marker=-0.00,False,False,248,4,4,0,2,2,2,0,0,0,0,0,0,,87,,248,,,,87,-999,-999,1.0,0,0,0,0,99.0,0,4,0,0,,1.0,,,1.0,,,,,,,35.0,,,,0.02969811320754717,0.34879342950877984,0.326089840785932,-999.0,-999.0,-999.0,,2330000.0,,,,,,0.0,58926.48999999999,,,,,0,0,0,0,0,0,0,0,0.9690439990151276,0.9259109942572865,,0.8885180841230884,0.9135742396885325,0.9333333333333332,80.5,,,,176.0,0,7,58
10003821,ST_1_SE,772,intercept=520.00|max_dpd_uns_l36m=-0.00|util_l6m_cc_live=-0.00|Outflow_uns_secmov=18.58|max_mob_all_36=234.00|final_consec_marker=-0.00,False,False,130,5,5,1,1,1,1,0,0,0,1,1,0,,20,69.5,130,,,,20,-999,-999,,0,0,0,0,99.0,0,4,-999,0,,13.0,,,13.0,,,,,,,20.0,,,,-999.0,0.3347403333333333,0.5732305303030303,-999.0,-999.0,-999.0,,2000000.0,,,,,,0.0,23226.60249999992,46453.20499999984,46453.20499999984,23226.60249999992,,4,2,0,4,4,0,0,0,0.7107618653649684,0.3911040171674015,,,,1.0,27.5,,19.0,,35.0,0,12,47
